arc,number,magnet,size
Baratie,07,magnet:?xt=urn:btih:fe84c629b8d60ae32672ae37fd1ad58501d88f7e&dn=%5BOne%20Pace%5D%5B63-67%5D%20Baratie%2007%20%5B1080p%5D%5B5B161435%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,877445744
Baratie,08,magnet:?xt=urn:btih:6f5c2abf645aebeeba59f468ebbd24b666cdca4f&dn=%5BOne%20Pace%5D%5B67-68%5D%20Baratie%2008%20%5B1080p%5D%5BA6F61DEE%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,473972246
Arlong Park,01,magnet:?xt=urn:btih:b3aaeeac3f12b5129380d7cd17415edbfbd12689&dn=%5BOne%20Pace%5D%5B69-71%5D%20Arlong%20Park%2001%20%5B1080p%5D%5BC269DEF5%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,753465930
Arlong Park,02,magnet:?xt=urn:btih:43a6cf0635ec1d9513b17a67acc687ac36f919c1&dn=%5BOne%20Pace%5D%5B72-74%5D%20Arlong%20Park%2002%20%5B1080p%5D%5BE419D54E%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,608568439
Arlong Park,03,magnet:?xt=urn:btih:c6ac0931b41840cec35ff81307899cc4d1e2cb69&dn=%5BOne%20Pace%5D%5B74-76%5D%20Arlong%20Park%2003%20%5B1080p%5D%5BCC4900AE%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,620351585
Arlong Park,04,magnet:?xt=urn:btih:0e4c02a3271301f1c2f6460be9e49498bf795b66&dn=%5BOne%20Pace%5D%5B77-78%5D%20Arlong%20Park%2004%20%5B1080p%5D%5BE4D9E965%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,651735094
Arlong Park,05,magnet:?xt=urn:btih:2c0761e2ebd4849d31b8e0fa43e8666d9a339a33&dn=%5BOne%20Pace%5D%5B79-81%5D%20Arlong%20Park%2005%20%5B1080p%5D%5B5D1CA4A2%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,763871543
Arlong Park,06,magnet:?xt=urn:btih:2b8ae89cb5efdb0600c14d20a8b9ea38c9e2f21b&dn=%5BOne%20Pace%5D%5B82-84%5D%20Arlong%20Park%2006%20%5B1080p%5D%5BFCF6BA63%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,616091254
Arlong Park,07,magnet:?xt=urn:btih:03090fbaca642d7a89b95c401ca6f2933ed58830&dn=%5BOne%20Pace%5D%5B85-88%5D%20Arlong%20Park%2007%20%5B1080p%5D%5B4DDEFE2B%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,669362707
Arlong Park,08,magnet:?xt=urn:btih:8ab5827addeacbbcb69e7f39df3a7dfc11c6ccdb&dn=%5BOne%20Pace%5D%5B88-91%5D%20Arlong%20Park%2008%20%5B1080p%5D%5BF43604B6%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,687112486
